Continue the Python pattern. Output code only.
rows = []
rows.append((1, 1 * 1, 'row-001'))
rows.append((2, 2 * 2, 'row-002'))
rows.append((3, 3 * 3, 'row-003'))
rows.append((4, 4 * 4, 'row-004'))
rows.append((5, 5 * 5, 'row-005'))
rows.append((6, 6 * 6, 'row-006'))
rows.append((7, 7 * 7, 'row-007'))
rows.append((8, 8 * 8, 'row-008'))
rows.append((9, 9 * 9, 'row-009'))
rows.append((10, 10 * 10, 'row-010'))
rows.append((11, 11 * 11, 'row-011'))
rows.append((12, 12 * 12, 'row-012'))
rows.append((13, 13 * 13, 'row-013'))
rows.append((14, 14 * 14, 'row-014'))
rows.append((15, 15 * 15, 'row-015'))
rows.append((16, 16 * 16, 'row-016'))
rows.append((17, 17 * 17, 'row-017'))
rows.append((18, 18 * 18, 'row-018'))
rows.append((19, 19 * 19, 'row-019'))
rows.append((20, 20 * 20, 'row-020'))
rows.append((21, 21 * 21, 'row-021'))
rows.append((22, 22 * 22, 'row-022'))
rows.append((23, 23 * 23, 'row-023'))
rows.append((24, 24 * 24, 'row-024'))
rows.append((25, 25 * 25, 'row-025'))
rows.append((26, 26 * 26, 'row-026'))
rows.append((27, 27 * 27, 'row-027'))
rows.append((28, 28 * 28, 'row-028'))
rows.append((29, 29 * 29, 'row-029'))
rows.append((30, 30 * 30, 'row-030'))
rows.append((31, 31 * 31, 'row-031'))
rows.append((32, 32 * 32, 'row-032'))
rows.append((33, 33 * 33, 'row-033'))
rows.append((34, 34 * 34, 'row-034'))
rows.append((35, 35 * 35, 'row-035'))
rows.append((36, 36 * 36, 'row-036'))
rows.append((37, 37 * 37, 'row-037'))
rows.append((38, 38 * 38, 'row-038'))
rows.append((39, 39 * 39, 'row-039'))
rows.append((40, 40 * 40, 'row-040'))
rows.append((41, 41 * 41, 'row-041'))
rows.append((42, 42 * 42, 'row-042'))
rows.append((43, 43 * 43, 'row-043'))
rows.append((44, 44 * 44, 'row-044'))
rows.append((45, 45 * 45, 'row-045'))
rows.append((46, 46 * 46, 'row-046'))
rows.append((47, 47 * 47, 'row-047'))
rows.append((48, 48 * 48, 'row-048'))
rows.append((49, 49 * 49, 'row-049'))
rows.append((50, 50 * 50, 'row-050'))
rows.append((51, 51 * 51, 'row-051'))
rows.append((52, 52 * 52, 'row-052'))
rows.append((53, 53 * 53, 'row-053'))
rows.append((54, 54 * 54, 'row-054'))
rows.append((55, 55 * 55, 'row-055'))
rows.append((56, 56 * 56, 'row-056'))
rows.append((57, 57 * 57, 'row-057'))
rows.append((58, 58 * 58, 'row-058'))
rows.append((59, 59 * 59, 'row-059'))
rows.append((60, 60 * 60, 'row-060'))
rows.append((61, 61 * 61, 'row-061'))
rows.append((62, 62 * 62, 'row-062'))
rows.append((63, 63 * 63, 'row-063'))
rows.append((64, 64 * 64, 'row-064'))
rows.append((65, 65 * 65, 'row-065'))
rows.append((66, 66 * 66, 'row-066'))
rows.append((67, 67 * 67, 'row-067'))
rows.append((68, 68 * 68, 'row-068'))
rows.append((69, 69 * 69, 'row-069'))
rows.append((70, 70 * 70, 'row-070'))
rows.append((71, 71 * 71, 'row-071'))
rows.append((72, 72 * 72, 'row-072'))
rows.append((73, 73 * 73, 'row-073'))
rows.append((74, 74 * 74, 'row-074'))
rows.append((75, 75 * 75, 'row-075'))
rows.append((76, 76 * 76, 'row-076'))
rows.append((77, 77 * 77, 'row-077'))
rows.append((78, 78 * 78, 'row-078'))
rows.append((79, 79 * 79, 'row-079'))
rows.append((80, 80 * 80, 'row-080'))
rows.append((81, 81 * 81, 'row-081'))
rows.append((82, 82 * 82, 'row-082'))
rows.append((83, 83 * 83, 'row-083'))
rows.append((84, 84 * 84, 'row-084'))
rows.append((85, 85 * 85, 'row-085'))
rows.append((86, 86 * 86, 'row-086'))
rows.append((87, 87 * 87, 'row-087'))
rows.append((88, 88 * 88, 'row-088'))
rows.append((89, 89 * 89, 'row-089'))
rows.append((90, 90 * 90, 'row-090'))
# Continue through row 140
